node_type,task_id,mec_id,x_m,y_m,lon,lat
base,,,0.000000000000,0.000000000000,113.546000000000,22.210000000000
task,1,,-1080.920162382719,0.000000000000,113.535500000000,22.210000000000
task,2,,-61.766866422413,689.408545196238,113.545400000000,22.216200000000
task,3,,1008.858818222994,289.106809275574,113.555800000000,22.212600000000
task,4,,1379.460016753083,-667.169559867378,113.559400000000,22.204000000000
task,5,,-1050.036729172244,-1356.578105063615,113.535800000000,22.197800000000
task,6,,205.889554738939,-5381.834449596741,113.548000000000,22.161600000000
task,7,,1152.981506539519,-5103.847132985203,113.557200000000,22.164100000000
task,8,,2378.024357240227,-5693.180244201571,113.569100000000,22.158800000000
task,9,,154.417166053838,-6393.708282062238,113.547500000000,22.152500000000
task,10,,802.969263482592,-7183.192261238740,113.553800000000,22.145400000000
task,11,,1935.361814550412,-7316.626173211899,113.564800000000,22.144200000000
task,12,,3005.987499194356,-7828.122835776863,113.575200000000,22.139600000000
task,13,,802.969263482592,-8650.965292946654,113.553800000000,22.132200000000
task,14,,2357.435401765602,-9029.028043538459,113.568900000000,22.128800000000
task,15,,3551.594819254371,-9762.914559392417,113.580500000000,22.122200000000
task,16,,2594.208389716479,-11208.448605771471,113.571200000000,22.109200000000
task,17,,1029.447773696156,-11230.687591100330,113.556000000000,22.109000000000
task,18,,288.245376634514,-10385.606148602074,113.548800000000,22.116600000000
task,19,,4653.103937110253,-7249.909217225319,113.591200000000,22.144800000000
task,20,,4972.232746956705,-9874.109486036716,113.594300000000,22.121200000000
mec,,1,-452.957020427128,-845.081442498652,113.541600000000,22.202400000000
mec,,2,1513.288227333759,-6026.765024135259,113.560700000000,22.155800000000
mec,,3,2419.202268188015,-10285.530714621809,113.569500000000,22.117500000000
